Recipe Name,Food Type,Ingredients,Calories,Protein (g),Carbohydrates (g),Fats (g),Instructions,Diet Type,Cholesterol (mg),Sugar (g)
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,43,5
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,45,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,75,3
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,37,2
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,55,4
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,42,8
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,72,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,75,2
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,52,9
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,69,3
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,66,5
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,40,1
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,44,2
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,56,1
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,38,2
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,32,4
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,33,1
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,58,8
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,34,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,82,5
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,30,5
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,44,3
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,67,6
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,68,6
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,44,7
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,34,4
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,44,3
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,37,7
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,59,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,34,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,35,3
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,36,2
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,73,5
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,32,8
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,60,4
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,57,7
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,39,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,98,5
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,44,3
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,46,5
Sushi Roll,Japanese,"Rice, Nori, Salmon, Avocado",450,15,50,5,1. Prepare sushi rice. 2. Lay nori sheet. 3. Add salmon and avocado.,Low-Fat,34,6
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,48,3
Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Parmesan, Bacon",600,30,70,20,1. Cook spaghetti. 2. Fry bacon. 3. Mix eggs and parmesan.,High-Protein,80,6
Caesar Salad,American,"Lettuce, Croutons, Parmesan, Chicken",350,20,30,8,1. Chop lettuce. 2. Grill chicken. 3. Add croutons and parmesan.,Low-Carb,38,4
Paneer Butter Masala,Indian,"Paneer, Tomato, Cream, Spices",550,22,40,25,1. Sauté onions and tomatoes. 2. Add paneer and cream.,Low-Carb,34,1
Chicken Fried Rice,Chinese,"Chicken, Rice, Soy Sauce, Vegetables",500,25,60,10,1. Cook rice. 2. Stir-fry vegetables and chicken. 3. Mix soy sauce.,Balanced,40,8
